,load,temp1,temp2,temp3,weekday,season,dayofy
2015-07-05 21:00:00,93023,78.4,73.5,74.2,7,2,186
2015-07-05 22:00:00,90712,78.4,73.5,74.2,7,2,186
2015-07-05 23:00:00,84847,78.4,73.5,74.2,7,2,186
2015-07-06 00:00:00,78546,69.0,72.9,74.8,1,2,187
2015-07-06 01:00:00,73890,69.0,72.9,74.8,1,2,187
2015-07-06 02:00:00,70589,69.0,72.9,74.8,1,2,187
2015-07-06 03:00:00,68627,69.0,72.9,74.8,1,2,187
2015-07-06 04:00:00,68070,69.0,72.9,74.8,1,2,187
2015-07-06 05:00:00,69453,69.0,72.9,74.8,1,2,187
2015-07-06 06:00:00,72763,69.0,72.9,74.8,1,2,187
2015-07-06 07:00:00,77737,69.0,72.9,74.8,1,2,187
2015-07-06 08:00:00,83383,69.0,72.9,74.8,1,2,187
2015-07-06 09:00:00,88690,69.0,72.9,74.8,1,2,187
2015-07-06 10:00:00,93981,69.0,72.9,74.8,1,2,187
2015-07-06 11:00:00,99120,69.0,72.9,74.8,1,2,187
2015-07-06 12:00:00,103833,69.0,72.9,74.8,1,2,187
2015-07-06 13:00:00,107512,69.0,72.9,74.8,1,2,187
2015-07-06 14:00:00,110262,69.0,72.9,74.8,1,2,187
2015-07-06 15:00:00,111839,69.0,72.9,74.8,1,2,187
2015-07-06 16:00:00,112499,69.0,72.9,74.8,1,2,187
2015-07-06 17:00:00,112783,69.0,72.9,74.8,1,2,187
2015-07-06 18:00:00,111767,69.0,72.9,74.8,1,2,187
2015-07-06 19:00:00,109311,69.0,72.9,74.8,1,2,187
2015-07-06 20:00:00,105673,69.0,72.9,74.8,1,2,187
2015-07-06 21:00:00,103647,69.0,72.9,74.8,1,2,187
2015-07-06 22:00:00,100323,69.0,72.9,74.8,1,2,187
2015-07-06 23:00:00,93076,69.0,72.9,74.8,1,2,187
2015-07-07 00:00:00,86034,62.5,62.9,62.7,2,2,188
2015-07-07 01:00:00,80824,62.5,62.9,62.7,2,2,188
2015-07-07 02:00:00,77258,62.5,62.9,62.7,2,2,188
2015-07-07 03:00:00,75037,62.5,62.9,62.7,2,2,188
2015-07-07 04:00:00,74129,62.5,62.9,62.7,2,2,188
2015-07-07 05:00:00,75144,62.5,62.9,62.7,2,2,188
2015-07-07 06:00:00,78335,62.5,62.9,62.7,2,2,188
2015-07-07 07:00:00,82385,62.5,62.9,62.7,2,2,188
2015-07-07 08:00:00,86842,62.5,62.9,62.7,2,2,188
2015-07-07 09:00:00,90765,62.5,62.9,62.7,2,2,188
2015-07-07 10:00:00,93967,62.5,62.9,62.7,2,2,188
2015-07-07 11:00:00,97057,62.5,62.9,62.7,2,2,188
2015-07-07 12:00:00,98746,62.5,62.9,62.7,2,2,188
2015-07-07 13:00:00,99626,62.5,62.9,62.7,2,2,188
2015-07-07 14:00:00,100269,62.5,62.9,62.7,2,2,188
2015-07-07 15:00:00,99832,62.5,62.9,62.7,2,2,188
2015-07-07 16:00:00,99402,62.5,62.9,62.7,2,2,188
2015-07-07 17:00:00,98749,62.5,62.9,62.7,2,2,188
2015-07-07 18:00:00,96977,62.5,62.9,62.7,2,2,188
2015-07-07 19:00:00,94756,62.5,62.9,62.7,2,2,188
2015-07-07 20:00:00,92471,62.5,62.9,62.7,2,2,188
2015-07-07 21:00:00,91560,62.5,62.9,62.7,2,2,188
2015-07-07 22:00:00,89363,62.5,62.9,62.7,2,2,188
2015-07-07 23:00:00,83322,62.5,62.9,62.7,2,2,188
2015-07-08 00:00:00,77171,66.3,66.6,69.4,3,2,189
2015-07-08 01:00:00,72925,66.3,66.6,69.4,3,2,189
2015-07-08 02:00:00,70227,66.3,66.6,69.4,3,2,189
2015-07-08 03:00:00,68448,66.3,66.6,69.4,3,2,189
2015-07-08 04:00:00,67878,66.3,66.6,69.4,3,2,189
2015-07-08 05:00:00,68970,66.3,66.6,69.4,3,2,189
2015-07-08 06:00:00,72026,66.3,66.6,69.4,3,2,189
2015-07-08 07:00:00,75985,66.3,66.6,69.4,3,2,189
2015-07-08 08:00:00,80518,66.3,66.6,69.4,3,2,189
2015-07-08 09:00:00,84230,66.3,66.6,69.4,3,2,189
2015-07-08 10:00:00,87774,66.3,66.6,69.4,3,2,189
2015-07-08 11:00:00,90355,66.3,66.6,69.4,3,2,189
2015-07-08 12:00:00,92526,66.3,66.6,69.4,3,2,189
2015-07-08 13:00:00,94401,66.3,66.6,69.4,3,2,189
2015-07-08 14:00:00,95930,66.3,66.6,69.4,3,2,189
2015-07-08 15:00:00,96277,66.3,66.6,69.4,3,2,189
2015-07-08 16:00:00,96020,66.3,66.6,69.4,3,2,189
2015-07-08 17:00:00,95956,66.3,66.6,69.4,3,2,189
2015-07-08 18:00:00,95334,66.3,66.6,69.4,3,2,189
2015-07-08 19:00:00,93915,66.3,66.6,69.4,3,2,189
2015-07-08 20:00:00,91916,66.3,66.6,69.4,3,2,189
2015-07-08 21:00:00,91451,66.3,66.6,69.4,3,2,189
2015-07-08 22:00:00,89410,66.3,66.6,69.4,3,2,189
2015-07-08 23:00:00,83755,66.3,66.6,69.4,3,2,189
2015-07-09 00:00:00,78238,71.5,68.9,68.0,4,2,190
2015-07-09 01:00:00,73926,71.5,68.9,68.0,4,2,190
2015-07-09 02:00:00,71250,71.5,68.9,68.0,4,2,190
2015-07-09 03:00:00,69507,71.5,68.9,68.0,4,2,190
2015-07-09 04:00:00,68835,71.5,68.9,68.0,4,2,190
2015-07-09 05:00:00,69973,71.5,68.9,68.0,4,2,190
2015-07-09 06:00:00,73409,71.5,68.9,68.0,4,2,190
2015-07-09 07:00:00,77383,71.5,68.9,68.0,4,2,190
2015-07-09 08:00:00,81700,71.5,68.9,68.0,4,2,190
2015-07-09 09:00:00,85628,71.5,68.9,68.0,4,2,190
2015-07-09 10:00:00,89224,71.5,68.9,68.0,4,2,190
2015-07-09 11:00:00,92748,71.5,68.9,68.0,4,2,190
2015-07-09 12:00:00,95552,71.5,68.9,68.0,4,2,190
2015-07-09 13:00:00,98083,71.5,68.9,68.0,4,2,190
2015-07-09 14:00:00,100416,71.5,68.9,68.0,4,2,190
2015-07-09 15:00:00,101715,71.5,68.9,68.0,4,2,190
2015-07-09 16:00:00,102551,71.5,68.9,68.0,4,2,190
2015-07-09 17:00:00,103118,71.5,68.9,68.0,4,2,190
2015-07-09 18:00:00,102139,71.5,68.9,68.0,4,2,190
2015-07-09 19:00:00,100017,71.5,68.9,68.0,4,2,190
2015-07-09 20:00:00,97491,71.5,68.9,68.0,4,2,190
2015-07-09 21:00:00,96180,71.5,68.9,68.0,4,2,190
2015-07-09 22:00:00,93680,71.5,68.9,68.0,4,2,190
2015-07-09 23:00:00,87363,71.5,68.9,68.0,4,2,190
2015-07-10 00:00:00,80766,73.7,72.6,68.9,5,2,191
2015-07-10 01:00:00,75865,73.7,72.6,68.9,5,2,191
2015-07-10 02:00:00,72397,73.7,72.6,68.9,5,2,191
2015-07-10 03:00:00,70305,73.7,72.6,68.9,5,2,191
2015-07-10 04:00:00,69573,73.7,72.6,68.9,5,2,191
2015-07-10 05:00:00,70541,73.7,72.6,68.9,5,2,191
2015-07-10 06:00:00,73469,73.7,72.6,68.9,5,2,191
2015-07-10 07:00:00,77469,73.7,72.6,68.9,5,2,191
2015-07-10 08:00:00,82450,73.7,72.6,68.9,5,2,191
2015-07-10 09:00:00,87564,73.7,72.6,68.9,5,2,191
2015-07-10 10:00:00,92232,73.7,72.6,68.9,5,2,191
2015-07-10 11:00:00,96722,73.7,72.6,68.9,5,2,191
2015-07-10 12:00:00,100181,73.7,72.6,68.9,5,2,191
2015-07-10 13:00:00,103080,73.7,72.6,68.9,5,2,191
2015-07-10 14:00:00,105469,73.7,72.6,68.9,5,2,191
2015-07-10 15:00:00,106781,73.7,72.6,68.9,5,2,191
2015-07-10 16:00:00,107510,73.7,72.6,68.9,5,2,191
2015-07-10 17:00:00,107379,73.7,72.6,68.9,5,2,191
2015-07-10 18:00:00,106108,73.7,72.6,68.9,5,2,191
2015-07-10 19:00:00,103649,73.7,72.6,68.9,5,2,191
2015-07-10 20:00:00,99944,73.7,72.6,68.9,5,2,191
2015-07-10 21:00:00,97737,73.7,72.6,68.9,5,2,191
2015-07-10 22:00:00,95245,73.7,72.6,68.9,5,2,191
2015-07-10 23:00:00,88978,73.7,72.6,68.9,5,2,191
2015-07-11 00:00:00,82316,75.0,74.6,76.0,6,2,192
2015-07-11 01:00:00,76903,75.0,74.6,76.0,6,2,192
2015-07-11 02:00:00,72889,75.0,74.6,76.0,6,2,192
2015-07-11 03:00:00,70402,75.0,74.6,76.0,6,2,192
2015-07-11 04:00:00,68767,75.0,74.6,76.0,6,2,192
2015-07-11 05:00:00,68548,75.0,74.6,76.0,6,2,192
2015-07-11 06:00:00,68868,75.0,74.6,76.0,6,2,192
2015-07-11 07:00:00,70034,75.0,74.6,76.0,6,2,192
2015-07-11 08:00:00,74298,75.0,74.6,76.0,6,2,192
2015-07-11 09:00:00,80461,75.0,74.6,76.0,6,2,192
2015-07-11 10:00:00,86703,75.0,74.6,76.0,6,2,192
2015-07-11 11:00:00,92067,75.0,74.6,76.0,6,2,192
2015-07-11 12:00:00,96248,75.0,74.6,76.0,6,2,192
2015-07-11 13:00:00,99288,75.0,74.6,76.0,6,2,192
2015-07-11 14:00:00,101784,75.0,74.6,76.0,6,2,192
2015-07-11 15:00:00,103467,75.0,74.6,76.0,6,2,192
2015-07-11 16:00:00,104678,75.0,74.6,76.0,6,2,192
2015-07-11 17:00:00,105107,75.0,74.6,76.0,6,2,192
2015-07-11 18:00:00,104810,75.0,74.6,76.0,6,2,192
2015-07-11 19:00:00,103044,75.0,74.6,76.0,6,2,192
2015-07-11 20:00:00,100015,75.0,74.6,76.0,6,2,192
2015-07-11 21:00:00,97998,75.0,74.6,76.0,6,2,192
2015-07-11 22:00:00,95719,75.0,74.6,76.0,6,2,192
2015-07-11 23:00:00,89981,75.0,74.6,76.0,6,2,192
2015-07-12 00:00:00,83871,78.0,72.1,74.2,7,2,193
2015-07-12 01:00:00,78797,78.0,72.1,74.2,7,2,193
2015-07-12 02:00:00,74957,78.0,72.1,74.2,7,2,193
2015-07-12 03:00:00,72274,78.0,72.1,74.2,7,2,193
2015-07-12 04:00:00,70516,78.0,72.1,74.2,7,2,193
2015-07-12 05:00:00,69713,78.0,72.1,74.2,7,2,193
2015-07-12 06:00:00,69469,78.0,72.1,74.2,7,2,193
2015-07-12 07:00:00,69689,78.0,72.1,74.2,7,2,193
2015-07-12 08:00:00,73877,78.0,72.1,74.2,7,2,193
2015-07-12 09:00:00,80646,78.0,72.1,74.2,7,2,193
2015-07-12 10:00:00,87193,78.0,72.1,74.2,7,2,193
2015-07-12 11:00:00,93152,78.0,72.1,74.2,7,2,193
2015-07-12 12:00:00,98409,78.0,72.1,74.2,7,2,193
2015-07-12 13:00:00,102802,78.0,72.1,74.2,7,2,193
2015-07-12 14:00:00,106271,78.0,72.1,74.2,7,2,193
2015-07-12 15:00:00,108904,78.0,72.1,74.2,7,2,193
2015-07-12 16:00:00,111202,78.0,72.1,74.2,7,2,193
2015-07-12 17:00:00,112870,78.0,72.1,74.2,7,2,193
2015-07-12 18:00:00,113687,78.0,72.1,74.2,7,2,193
2015-07-12 19:00:00,112595,78.0,72.1,74.2,7,2,193
2015-07-12 20:00:00,109427,78.0,72.1,74.2,7,2,193
2015-07-12 21:00:00,107073,78.0,72.1,74.2,7,2,193
2015-07-12 22:00:00,104245,78.0,72.1,74.2,7,2,193
2015-07-12 23:00:00,97067,78.0,72.1,74.2,7,2,193
2015-07-13 00:00:00,89327,78.0,73.8,77.6,1,2,194
2015-07-13 01:00:00,83638,78.0,73.8,77.6,1,2,194
2015-07-13 02:00:00,79680,78.0,73.8,77.6,1,2,194
2015-07-13 03:00:00,77046,78.0,73.8,77.6,1,2,194
2015-07-13 04:00:00,76107,78.0,73.8,77.6,1,2,194
2015-07-13 05:00:00,77070,78.0,73.8,77.6,1,2,194
2015-07-13 06:00:00,80182,78.0,73.8,77.6,1,2,194
2015-07-13 07:00:00,84738,78.0,73.8,77.6,1,2,194
2015-07-13 08:00:00,90907,78.0,73.8,77.6,1,2,194
2015-07-13 09:00:00,97204,78.0,73.8,77.6,1,2,194
2015-07-13 10:00:00,102975,78.0,73.8,77.6,1,2,194
2015-07-13 11:00:00,108409,78.0,73.8,77.6,1,2,194
2015-07-13 12:00:00,113210,78.0,73.8,77.6,1,2,194
2015-07-13 13:00:00,116463,78.0,73.8,77.6,1,2,194
2015-07-13 14:00:00,118945,78.0,73.8,77.6,1,2,194
2015-07-13 15:00:00,120704,78.0,73.8,77.6,1,2,194
2015-07-13 16:00:00,122187,78.0,73.8,77.6,1,2,194
2015-07-13 17:00:00,123397,78.0,73.8,77.6,1,2,194
2015-07-13 18:00:00,123209,78.0,73.8,77.6,1,2,194
2015-07-13 19:00:00,121243,78.0,73.8,77.6,1,2,194
2015-07-13 20:00:00,117666,78.0,73.8,77.6,1,2,194
2015-07-13 21:00:00,114724,78.0,73.8,77.6,1,2,194
2015-07-13 22:00:00,110211,78.0,73.8,77.6,1,2,194
2015-07-13 23:00:00,101798,78.0,73.8,77.6,1,2,194
2015-07-14 00:00:00,93673,68.2,67.0,72.1,2,2,195
2015-07-14 01:00:00,87630,68.2,67.0,72.1,2,2,195
2015-07-14 02:00:00,83289,68.2,67.0,72.1,2,2,195
2015-07-14 03:00:00,80504,68.2,67.0,72.1,2,2,195
2015-07-14 04:00:00,78935,68.2,67.0,72.1,2,2,195
2015-07-14 05:00:00,79711,68.2,67.0,72.1,2,2,195
2015-07-14 06:00:00,82658,68.2,67.0,72.1,2,2,195
2015-07-14 07:00:00,86918,68.2,67.0,72.1,2,2,195
2015-07-14 08:00:00,93130,68.2,67.0,72.1,2,2,195
2015-07-14 09:00:00,99060,68.2,67.0,72.1,2,2,195
2015-07-14 10:00:00,104546,68.2,67.0,72.1,2,2,195
2015-07-14 11:00:00,109894,68.2,67.0,72.1,2,2,195
2015-07-14 12:00:00,114176,68.2,67.0,72.1,2,2,195
2015-07-14 13:00:00,117422,68.2,67.0,72.1,2,2,195
2015-07-14 14:00:00,120040,68.2,67.0,72.1,2,2,195
2015-07-14 15:00:00,121332,68.2,67.0,72.1,2,2,195
2015-07-14 16:00:00,121783,68.2,67.0,72.1,2,2,195
2015-07-14 17:00:00,121281,68.2,67.0,72.1,2,2,195
2015-07-14 18:00:00,119640,68.2,67.0,72.1,2,2,195
2015-07-14 19:00:00,116419,68.2,67.0,72.1,2,2,195
2015-07-14 20:00:00,111897,68.2,67.0,72.1,2,2,195
2015-07-14 21:00:00,108665,68.2,67.0,72.1,2,2,195
2015-07-14 22:00:00,105050,68.2,67.0,72.1,2,2,195
2015-07-14 23:00:00,96908,68.2,67.0,72.1,2,2,195
2015-07-15 00:00:00,88778,69.4,65.2,71.9,3,2,196
2015-07-15 01:00:00,82943,69.4,65.2,71.9,3,2,196
2015-07-15 02:00:00,78749,69.4,65.2,71.9,3,2,196
2015-07-15 03:00:00,75902,69.4,65.2,71.9,3,2,196
2015-07-15 04:00:00,74533,69.4,65.2,71.9,3,2,196
2015-07-15 05:00:00,74871,69.4,65.2,71.9,3,2,196
2015-07-15 06:00:00,77711,69.4,65.2,71.9,3,2,196
2015-07-15 07:00:00,81473,69.4,65.2,71.9,3,2,196
2015-07-15 08:00:00,86557,69.4,65.2,71.9,3,2,196
2015-07-15 09:00:00,91246,69.4,65.2,71.9,3,2,196
2015-07-15 10:00:00,95921,69.4,65.2,71.9,3,2,196
2015-07-15 11:00:00,100239,69.4,65.2,71.9,3,2,196
2015-07-15 12:00:00,104247,69.4,65.2,71.9,3,2,196
2015-07-15 13:00:00,107528,69.4,65.2,71.9,3,2,196
2015-07-15 14:00:00,110337,69.4,65.2,71.9,3,2,196
2015-07-15 15:00:00,112361,69.4,65.2,71.9,3,2,196
2015-07-15 16:00:00,113188,69.4,65.2,71.9,3,2,196
2015-07-15 17:00:00,113265,69.4,65.2,71.9,3,2,196
2015-07-15 18:00:00,110989,69.4,65.2,71.9,3,2,196
2015-07-15 19:00:00,109453,69.4,65.2,71.9,3,2,196
2015-07-15 20:00:00,105890,69.4,65.2,71.9,3,2,196
2015-07-15 21:00:00,103795,69.4,65.2,71.9,3,2,196
2015-07-15 22:00:00,100396,69.4,65.2,71.9,3,2,196
2015-07-15 23:00:00,93295,69.4,65.2,71.9,3,2,196
2015-07-16 00:00:00,85847,80.0,74.2,77.6,4,2,197
2015-07-16 01:00:00,80466,80.0,74.2,77.6,4,2,197
2015-07-16 02:00:00,76694,80.0,74.2,77.6,4,2,197
2015-07-16 03:00:00,74337,80.0,74.2,77.6,4,2,197
2015-07-16 04:00:00,73306,80.0,74.2,77.6,4,2,197
2015-07-16 05:00:00,74159,80.0,74.2,77.6,4,2,197
2015-07-16 06:00:00,77337,80.0,74.2,77.6,4,2,197
2015-07-16 07:00:00,81414,80.0,74.2,77.6,4,2,197
2015-07-16 08:00:00,86440,80.0,74.2,77.6,4,2,197
2015-07-16 09:00:00,91336,80.0,74.2,77.6,4,2,197
2015-07-16 10:00:00,95977,80.0,74.2,77.6,4,2,197
2015-07-16 11:00:00,100537,80.0,74.2,77.6,4,2,197
2015-07-16 12:00:00,104203,80.0,74.2,77.6,4,2,197
2015-07-16 13:00:00,107221,80.0,74.2,77.6,4,2,197
2015-07-16 14:00:00,110184,80.0,74.2,77.6,4,2,197
2015-07-16 15:00:00,112113,80.0,74.2,77.6,4,2,197
2015-07-16 16:00:00,113061,80.0,74.2,77.6,4,2,197
2015-07-16 17:00:00,113359,80.0,74.2,77.6,4,2,197
2015-07-16 18:00:00,112322,80.0,74.2,77.6,4,2,197
2015-07-16 19:00:00,110329,80.0,74.2,77.6,4,2,197
2015-07-16 20:00:00,107651,80.0,74.2,77.6,4,2,197
2015-07-16 21:00:00,106087,80.0,74.2,77.6,4,2,197
2015-07-16 22:00:00,102648,80.0,74.2,77.6,4,2,197
2015-07-16 23:00:00,95816,80.0,74.2,77.6,4,2,197
2015-07-17 00:00:00,88916,82.5,78.8,77.3,5,2,198
2015-07-17 01:00:00,83677,82.5,78.8,77.3,5,2,198
2015-07-17 02:00:00,79987,82.5,78.8,77.3,5,2,198
2015-07-17 03:00:00,77646,82.5,78.8,77.3,5,2,198
2015-07-17 04:00:00,76455,82.5,78.8,77.3,5,2,198
2015-07-17 05:00:00,77552,82.5,78.8,77.3,5,2,198
2015-07-17 06:00:00,81033,82.5,78.8,77.3,5,2,198
2015-07-17 07:00:00,85255,82.5,78.8,77.3,5,2,198
2015-07-17 08:00:00,91263,82.5,78.8,77.3,5,2,198
2015-07-17 09:00:00,97740,82.5,78.8,77.3,5,2,198
2015-07-17 10:00:00,104061,82.5,78.8,77.3,5,2,198
2015-07-17 11:00:00,109864,82.5,78.8,77.3,5,2,198
2015-07-17 12:00:00,114918,82.5,78.8,77.3,5,2,198
2015-07-17 13:00:00,118909,82.5,78.8,77.3,5,2,198
2015-07-17 14:00:00,122148,82.5,78.8,77.3,5,2,198
2015-07-17 15:00:00,124247,82.5,78.8,77.3,5,2,198
2015-07-17 16:00:00,124706,82.5,78.8,77.3,5,2,198
2015-07-17 17:00:00,124482,82.5,78.8,77.3,5,2,198
2015-07-17 18:00:00,123338,82.5,78.8,77.3,5,2,198
2015-07-17 19:00:00,120474,82.5,78.8,77.3,5,2,198
2015-07-17 20:00:00,116570,82.5,78.8,77.3,5,2,198
2015-07-17 21:00:00,113478,82.5,78.8,77.3,5,2,198
